Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
186,9,186-9,Leaf,,,,,0.0140683521,51.9831429,
186,10,186-10,Leaf,,,,,-0.0260501336,4.74701881,
187,0,187-0,cost_per_road_hour,49.9392853,187-1,187-2,187-2,3.49043465,73.5585175,
187,1,187-1,contract_concentration,0.200034514,187-3,187-4,187-4,3.56728005,68.3363113,
187,2,187-2,Leaf,,,,,-0.0313816741,5.22220802,
187,3,187-3,billed_utilization,1.04988921,187-5,187-6,187-6,4.12012005,64.1893311,
187,4,187-4,Leaf,,,,,-0.0319116153,4.14698124,
187,5,187-5,Leaf,,,,,-0.0322101824,3.96225071,
187,6,187-6,revenue_per_kent_leg,70.0001984,187-7,187-8,187-8,4.60412884,60.2270813,
187,7,187-7,Leaf,,,,,-0.0315978229,3.86658263,
187,8,187-8,non_billable_noshow,0.0997218192,187-9,187-10,187-10,5.57715273,56.3604965,
187,9,187-9,Leaf,,,,,0.0127430176,50.1277199,
187,10,187-10,Leaf,,,,,-0.0243588593,6.23277807,
188,0,188-0,billed_utilization,1.05165946,188-1,188-2,188-2,3.45702457,72.7461853,
188,1,188-1,Leaf,,,,,-0.0311058369,4.63055658,
188,2,188-2,total_volume_pool,1.19552481,188-3,188-4,188-4,3.55973125,68.1156311,
188,3,188-3,Leaf,,,,,-0.031666737,3.76292682,
188,4,188-4,vehicle_utilization,0.949723125,188-5,188-6,188-6,4.03352213,64.3527069,
188,5,188-5,Leaf,,,,,-0.0312233847,3.75987554,
188,6,188-6,road_hours_per_vehicle,8.96322536,188-7,188-8,188-8,4.64488411,60.5928268,
188,7,188-7,Leaf,,,,,-0.0314067937,3.6543262,
188,8,188-8,high_acuity_share,0.0498093776,188-9,188-10,188-10,5.34915638,56.9385033,
188,9,188-9,Leaf,,,,,-0.031070143,3.66345191,
188,10,188-10,Leaf,,,,,0.0127856107,53.2750511,
189,0,189-0,road_hours_per_vehicle,9.00397682,189-1,189-2,189-2,3.59280777,72.3707123,
189,1,189-1,Leaf,,,,,-0.0330713205,4.43964911,
189,2,189-2,total_volume_pool,1.19552481,189-3,189-4,189-4,3.4614861,67.9310608,
189,3,189-3,Leaf,,,,,-0.0318044163,3.83435893,
189,4,189-4,contract_concentration,0.200034514,189-5,189-6,189-6,3.96540785,64.0967026,
189,5,189-5,high_acuity_share,0.050309673,189-7,189-8,189-8,4.58540249,60.2280006,
189,6,189-6,Leaf,,,,,-0.0313421749,3.86870217,
189,7,189-7,Leaf,,,,,-0.0293439087,4.33700752,
189,8,189-8,vehicle_utilization,0.949723125,189-9,189-10,189-10,5.20912457,55.890995,
189,9,189-9,Leaf,,,,,-0.0310083218,3.66939688,
189,10,189-10,Leaf,,,,,0.0122630605,52.2215958,
190,0,190-0,non_billable_noshow,0.0997218192,190-1,190-2,190-2,3.42150307,72.1123352,
190,1,190-1,non_billable_noshow,0.0536742359,190-3,190-4,190-4,3.58195519,65.6685638,
190,2,190-2,non_billable_noshow,0.100725584,190-5,190-6,190-6,0.0211303234,6.44376707,
190,3,190-3,road_hours_per_vehicle,9.00397682,190-7,190-8,190-8,2.60397053,54.3427963,
190,4,190-4,total_volume_pool,1.34239745,190-9,190-10,190-10,0.473254919,11.3257694,
190,5,190-5,Leaf,,,,,-0.0104758991,2.41181159,
190,6,190-6,Leaf,,,,,-0.0321787968,4.03195524,
190,7,190-7,Leaf,,,,,-0.0315095186,3.68340302,
190,8,190-8,revenue_per_kent_leg,70.0001984,190-11,190-12,190-12,2.78186464,50.6593933,
190,9,190-9,Leaf,,,,,0.000529195415,2.12453341,
190,10,190-10,billed_utilization,1.13222075,190-13,190-14,190-14,0.117091894,9.20123577,
190,11,190-11,Leaf,,,,,-0.0304530133,3.43168092,
190,12,190-12,high_acuity_share,0.0498093776,190-15,190-16,190-16,3.22533774,47.2277145,
190,13,190-13,Leaf,,,,,0.00615295209,2.00725269,
190,14,190-14,contract_concentration,0.151982278,190-17,190-18,190-18,0.0114872456,7.19398308,
190,15,190-15,Leaf,,,,,-0.0301417392,3.32769322,
190,16,190-16,Leaf,,,,,0.00523455348,43.9000206,
190,17,190-17,Leaf,,,,,0.0301945135,4.90477276,
190,18,190-18,Leaf,,,,,0.00965758413,2.28921032,
191,0,191-0,total_volume_pool,1.20034683,191-1,191-2,191-2,4.16292667,70.7796097,
191,1,191-1,Leaf,,,,,-0.034250591,4.79172993,
191,2,191-2,revenue_per_kent_leg,70.0001984,191-3,191-4,191-4,3.6210134,65.9878769,
191,3,191-3,Leaf,,,,,-0.0316737294,3.95140696,
191,4,191-4,billed_utilization,1.04988921,191-5,191-6,191-6,3.87270737,62.0364685,
191,5,191-5,Leaf,,,,,-0.0312639102,3.61849022,
191,6,191-6,vehicle_utilization,0.949723125,191-7,191-8,191-8,4.48739195,58.4179802,
191,7,191-7,Leaf,,,,,-0.0309201442,3.66245127,
191,8,191-8,road_hours_per_vehicle,9.00397682,191-9,191-10,191-10,4.92489719,54.7555275,
191,9,191-9,Leaf,,,,,-0.0268544033,4.35102034,
191,10,191-10,Leaf,,,,,0.0128625073,50.4045067,
192,0,192-0,contract_concentration,0.200034514,192-1,192-2,192-2,3.00675154,70.7129517,
192,1,192-1,total_volume_pool,1.19552481,192-3,192-4,192-4,3.29255629,66.772644,
192,2,192-2,Leaf,,,,,-0.0313981585,3.94030857,
192,3,192-3,Leaf,,,,,-0.0313272476,3.67852068,
192,4,192-4,vehicle_utilization,0.949723125,192-5,192-6,192-6,3.74341488,63.0941238,
192,5,192-5,Leaf,,,,,-0.0309166014,3.6771791,
192,6,192-6,non_billable_noshow,0.0997218192,192-7,192-8,192-8,4.47820759,59.4169464,
192,7,192-7,revenue_per_kent_leg,70.0001984,192-9,192-10,192-10,5.19437122,53.333725,
192,8,192-8,non_billable_noshow,0.100725584,192-11,192-12,192-12,0.283627033,6.08322048,
192,9,192-9,Leaf,,,,,-0.0307738557,3.56574416,
192,10,192-10,Leaf,,,,,0.0129719395,49.7679787,
192,11,192-11,Leaf,,,,,-0.00692123501,2.61239147,
192,12,192-12,Leaf,,,,,-0.0309404097,3.47082901,
193,0,193-0,revenue_per_kent_leg,98.4024734,193-1,193-2,193-2,2.9494102,70.0204849,
193,1,193-1,non_billable_noshow,0.0997218192,193-3,193-4,193-4,2.74085188,59.9441223,
193,2,193-2,road_hours_per_vehicle,10.2251015,193-5,193-6,193-6,0.197922945,10.0763607,
193,3,193-3,revenue_per_kent_leg,70.0001984,193-7,193-8,193-8,2.62908149,54.7061157,
193,4,193-4,Leaf,,,,,-0.0307808146,5.23800707,
193,5,193-5,Leaf,,,,,0.00152559381,2.03446651,
193,6,193-6,Leaf,,,,,0.0188462324,8.04189396,
193,7,193-7,Leaf,,,,,-0.0309910569,3.68165922,
193,8,193-8,revenue_per_kent_leg,97.8499985,193-9,193-10,193-10,4.05245018,51.024456,
193,9,193-9,total_volume_pool,1.32909691,193-11,193-12,193-12,0.69048667,13.3743172,
193,10,193-10,road_hours_per_vehicle,9.00397682,193-13,193-14,193-14,1.55376685,37.6501389,
193,11,193-11,Leaf,,,,,-0.00047676338,2.30676317,
193,12,193-12,Leaf,,,,,0.0215361733,11.0675545,
193,13,193-13,Leaf,,,,,-0.0298104081,3.13019943,
193,14,193-14,Leaf,,,,,-0.0038797718,34.5199394,
194,0,194-0,cost_per_road_hour,50.3312798,194-1,194-2,194-2,2.91873693,69.6583633,
194,1,194-1,high_acuity_share,0.0498093776,194-3,194-4,194-4,3.10891509,65.7627945,
194,2,194-2,Leaf,,,,,-0.0316055082,3.89557076,
194,3,194-3,Leaf,,,,,-0.0309753884,3.66668296,
194,4,194-4,non_billable_noshow,0.100725584,194-5,194-6,194-6,3.50965381,62.0961075,
194,5,194-5,vehicle_utilization,0.949723125,194-7,194-8,194-8,3.9855442,58.5689926,
194,6,194-6,Leaf,,,,,-0.0309255216,3.52711487,
194,7,194-7,Leaf,,,,,-0.0304859076,3.5148437,
194,8,194-8,revenue_per_kent_leg,70.0001984,194-9,194-10,194-10,4.47272348,55.0541496,
194,9,194-9,Leaf,,,,,-0.0302743614,3.37910604,
194,10,194-10,Leaf,,,,,0.0109626828,51.675045,
195,0,195-0,contract_concentration,0.200034514,195-1,195-2,195-2,2.97469926,67.3820419,
195,1,195-1,billed_utilization,1.04988921,195-3,195-4,195-4,3.16460109,63.4535027,
195,2,195-2,Leaf,,,,,-0.0313492492,3.92853713,
195,3,195-3,Leaf,,,,,-0.0311189685,3.5516398,
195,4,195-4,cost_per_road_hour,49.9392853,195-5,195-6,195-6,3.6877346,59.9018631,
195,5,195-5,total_volume_pool,1.20034683,195-7,195-8,195-8,4.44857121,55.0211639,
195,6,195-6,Leaf,,,,,-0.0267850179,4.8806982,
195,7,195-7,Leaf,,,,,-0.0272920933,4.59852743,
195,8,195-8,revenue_per_kent_leg,70.0001984,195-9,195-10,195-10,5.19467258,50.4226341,
195,9,195-9,Leaf,,,,,-0.0305731464,3.53061914,
195,10,195-10,Leaf,,,,,0.0134442514,46.8920174,
196,0,196-0,road_hours_per_vehicle,9.00397682,196-1,196-2,196-2,3.20099545,68.5021744,
196,1,196-1,Leaf,,,,,-0.032709267,4.2784729,
196,2,196-2,non_billable_noshow,0.0997218192,196-3,196-4,196-4,3.44859457,64.2237015,
196,3,196-3,billed_utilization,1.05165946,196-5,196-6,196-6,4.16180038,58.471386,
196,4,196-4,Leaf,,,,,-0.027452413,5.75231218,
196,5,196-5,Leaf,,,,,-0.0303285513,4.45597219,
196,6,196-6,contract_concentration,0.200034514,196-7,196-8,196-8,4.43146563,54.0154152,
196,7,196-7,high_acuity_share,0.050309673,196-9,196-10,196-10,5.23365688,50.3385277,
196,8,196-8,Leaf,,,,,-0.0308106747,3.67688465,
196,9,196-9,Leaf,,,,,-0.0279910639,4.31626034,
196,10,196-10,Leaf,,,,,0.013245482,46.0222702,
197,0,197-0,total_volume_pool,1.19552481,197-1,197-2,197-2,2.63440514,67.0381546,
197,1,197-1,Leaf,,,,,-0.0312507972,3.69377255,
197,2,197-2,high_acuity_share,0.050309673,197-3,197-4,197-4,2.78186369,63.3443871,
197,3,197-3,Leaf,,,,,-0.0285566375,4.08355904,
197,4,197-4,high_acuity_share,0.191356495,197-5,197-6,197-6,3.4233079,59.2608261,
197,5,197-5,vehicle_utilization,1.14475167,197-7,197-8,197-8,0.14951086,9.11462116,
197,6,197-6,road_hours_per_vehicle,9.00397682,197-9,197-10,197-10,3.03983402,50.1462059,
197,7,197-7,Leaf,,,,,0.00901197921,3.48419261,
197,8,197-8,Leaf,,,,,0.0275630914,5.63042831,
197,9,197-9,Leaf,,,,,-0.0318882056,3.87935853,
197,10,197-10,non_billable_noshow,0.0997218192,197-11,197-12,197-12,3.13680506,46.2668457,
197,11,197-11,Leaf,,,,,0.00476891082,40.7133789,
197,12,197-12,Leaf,,,,,-0.0245923251,5.5534668,
198,0,198-0,billed_utilization,1.04988921,198-1,198-2,198-2,2.69917679,67.2482376,
198,1,198-1,Leaf,,,,,-0.0313467383,3.70083213,
198,2,198-2,total_volume_pool,1.19552481,198-3,198-4,198-4,2.9622519,63.5474052,
198,3,198-3,Leaf,,,,,-0.0309060924,3.5546155,
198,4,198-4,contract_concentration,0.200034514,198-5,198-6,198-6,3.40310526,59.9927902,
198,5,198-5,cost_per_road_hour,50.3312798,198-7,198-8,198-8,3.92962265,56.4178505,
198,6,198-6,Leaf,,,,,-0.030532198,3.57493925,
198,7,198-7,non_billable_noshow,0.100725584,198-9,198-10,198-10,4.48042822,52.9616089,
198,8,198-8,Leaf,,,,,-0.0306820311,3.45624137,
198,9,198-9,Leaf,,,,,0.0108996313,49.591732,
198,10,198-10,Leaf,,,,,-0.0304728448,3.36987782,
199,0,199-0,cost_per_road_hour,49.9392853,199-1,199-2,199-2,2.89393759,65.8384933,
199,1,199-1,vehicle_utilization,0.95466727,199-3,199-4,199-4,3.1089375,60.5884399,
199,2,199-2,Leaf,,,,,-0.0277910922,5.25005579,
199,3,199-3,Leaf,,,,,-0.0291609392,4.02247953,
199,4,199-4,contract_concentration,0.200034514,199-5,199-6,199-6,3.48399901,56.5659599,
199,5,199-5,non_billable_noshow,0.0997218192,199-7,199-8,199-8,4.12924337,53.1264534,
199,6,199-6,Leaf,,,,,-0.0301685557,3.43950796,
199,7,199-7,road_hours_per_vehicle,8.96322536,199-9,199-10,199-10,4.94472694,47.2585297,
199,8,199-8,non_billable_noshow,0.100725584,199-11,199-12,199-12,0.335071087,5.86792326,
199,9,199-9,Leaf,,,,,-0.0302795675,3.2908752,
199,10,199-10,Leaf,,,,,0.0138381319,43.9676552,
199,11,199-11,Leaf,,,,,-0.00576982833,2.60219455,
199,12,199-12,Leaf,,,,,-0.0301255677,3.26572847,
200,0,200-0,billed_utilization,1.04988921,200-1,200-2,200-2,2.66853356,65.2569122,
200,1,200-1,Leaf,,,,,-0.0313564949,3.72193432,
200,2,200-2,vehicle_utilization,0.95466727,200-3,200-4,200-4,2.92241502,61.534977,
200,3,200-3,Leaf,,,,,-0.0290893409,4.11368895,
200,4,200-4,revenue_per_kent_leg,70.0001984,200-5,200-6,200-6,3.26230311,57.4212875,
200,5,200-5,Leaf,,,,,-0.0303473435,3.42113042,
200,6,200-6,contract_concentration,0.200034514,200-7,200-8,200-8,3.67050838,54.0001564,
200,7,200-7,total_volume_pool,1.20034683,200-9,200-10,200-10,4.35638618,50.6583443,
200,8,200-8,Leaf,,,,,-0.0298709869,3.34181166,
200,9,200-9,Leaf,,,,,-0.026279727,4.28436518,
200,10,200-10,Leaf,,,,,0.011390618,46.3739815,
201,0,201-0,revenue_per_kent_leg,70.0001984,201-1,201-2,201-2,2.46343803,64.1366959,
201,1,201-1,Leaf,,,,,-0.0303177573,3.45487571,
201,2,201-2,cost_per_road_hour,50.3312798,201-3,201-4,201-4,2.78754044,60.6818199,
201,3,201-3,billed_utilization,1.05165946,201-5,201-6,201-6,3.16822124,57.327095,
201,4,201-4,Leaf,,,,,-0.0302553792,3.35472798,
201,5,201-5,Leaf,,,,,-0.0278319977,3.90990686,
201,6,201-6,non_billable_noshow,0.0997218192,201-7,201-8,201-8,3.63299298,53.4171867,
201,7,201-7,total_volume_pool,1.20034683,201-9,201-10,201-10,4.45376587,47.7521477,
201,8,201-8,non_billable_noshow,0.100725584,201-11,201-12,201-12,0.293218136,5.66503716,
201,9,201-9,Leaf,,,,,-0.0258683916,4.14026022,
201,10,201-10,Leaf,,,,,0.0128367264,43.6118889,
201,11,201-11,Leaf,,,,,-0.00590666989,2.60033226,
201,12,201-12,Leaf,,,,,-0.0295321569,3.06470513,
202,0,202-0,high_acuity_share,0.0498093776,202-1,202-2,202-2,2.61364341,64.2459564,
202,1,202-1,Leaf,,,,,-0.0307622068,3.60462427,
202,2,202-2,high_acuity_share,0.191356495,202-3,202-4,202-4,3.40631747,60.6413345,
202,3,202-3,vehicle_utilization,1.14475167,202-5,202-6,202-6,0.624167204,9.91291428,
202,4,202-4,road_hours_per_vehicle,9.00397682,202-7,202-8,202-8,2.74940729,50.7284203,
202,5,202-5,Leaf,,,,,0.00400514528,3.78405857,
202,6,202-6,Leaf,,,,,0.0270432923,6.12885523,
202,7,202-7,Leaf,,,,,-0.0320643596,3.99082255,
202,8,202-8,non_billable_noshow,0.0997218192,202-9,202-10,202-10,2.65713072,46.7375984,
202,9,202-9,billed_utilization,1.05165946,202-11,202-12,202-12,3.29122877,41.7772675,
202,10,202-10,Leaf,,,,,-0.0258162711,4.9603281,
202,11,202-11,Leaf,,,,,-0.0299743153,3.33305621,
202,12,202-12,Leaf,,,,,0.00596414413,38.4442139,
203,0,203-0,cost_per_road_hour,49.9392853,203-1,203-2,203-2,2.64599895,64.0163345,
203,1,203-1,high_acuity_share,0.0498093776,203-3,203-4,203-4,2.94358134,58.9467888,
203,2,203-2,Leaf,,,,,-0.0274274219,5.06954336,
203,3,203-3,Leaf,,,,,-0.0305054579,3.50033879,
203,4,203-4,contract_concentration,0.200034514,203-5,203-6,203-6,3.40985441,55.4464493,
203,5,203-5,road_hours_per_vehicle,9.00397682,203-7,203-8,203-8,3.78621507,51.9630432,
203,6,203-6,Leaf,,,,,-0.0302297976,3.48340464,
203,7,203-7,Leaf,,,,,-0.0264385678,4.21149826,
203,8,203-8,billed_utilization,1.05165946,203-9,203-10,203-10,4.58950138,47.751545,
203,9,203-9,Leaf,,,,,-0.0274992511,3.86281276,
203,10,203-10,Leaf,,,,,0.0127254771,43.8887329,
204,0,204-0,high_acuity_share,0.050309673,204-1,204-2,204-2,2.55741739,62.6704063,
204,1,204-1,Leaf,,,,,-0.0290808342,4.11025095,
204,2,204-2,revenue_per_kent_leg,70.0001984,204-3,204-4,204-4,2.74408579,58.5601578,
204,3,204-3,Leaf,,,,,-0.0300354566,3.33049393,
204,4,204-4,contract_concentration,0.200034514,204-5,204-6,204-6,3.18139219,55.2296638,
204,5,204-5,non_billable_noshow,0.100725584,204-7,204-8,204-8,3.4640193,51.8995361,
204,6,204-6,Leaf,,,,,-0.0297977887,3.33012414,
204,7,204-7,road_hours_per_vehicle,9.00397682,204-9,204-10,204-10,4.08806849,48.8252602,
204,8,204-8,Leaf,,,,,-0.029489588,3.07427931,
204,9,204-9,Leaf,,,,,-0.0257392544,4.00702906,
204,10,204-10,Leaf,,,,,0.0116893146,44.8182297,
205,0,205-0,cost_per_road_hour,50.3312798,205-1,205-2,205-2,2.68735623,63.0616302,
205,1,205-1,high_acuity_share,0.0498093776,205-3,205-4,205-4,2.66268444,59.4637489,
205,2,205-2,Leaf,,,,,-0.0307775736,3.59788203,
205,3,205-3,Leaf,,,,,-0.0296229329,3.20534253,
205,4,205-4,road_hours_per_vehicle,8.96322536,205-5,205-6,205-6,3.03742528,56.2584076,
205,5,205-5,Leaf,,,,,-0.0296222009,3.11180854,
205,6,205-6,vehicle_utilization,0.95466727,205-7,205-8,205-8,3.37808371,53.1465988,
205,7,205-7,Leaf,,,,,-0.0265478604,3.69108844,
205,8,205-8,contract_concentration,0.200034514,205-9,205-10,205-10,3.85064244,49.4555092,
205,9,205-9,Leaf,,,,,0.0113500152,46.4774742,
205,10,205-10,Leaf,,,,,-0.0287461225,2.97803593,
206,0,206-0,vehicle_utilization,0.95466727,206-1,206-2,206-2,2.58359575,61.5011177,
206,1,206-1,Leaf,,,,,-0.0291865002,4.22491026,
206,2,206-2,vehicle_utilization,1.20474994,206-3,206-4,206-4,3.53204036,57.276207,
206,3,206-3,total_volume_pool,1.35397553,206-5,206-6,206-6,0.230787039,10.6679211,
206,4,206-4,vehicle_utilization,1.20946527,206-7,206-8,206-8,2.6219995,46.6082878,
206,5,206-5,Leaf,,,,,0.00255555357,2.01680183,
206,6,206-6,contract_concentration,0.148272187,206-9,206-10,206-10,0.29327178,8.65111923,
206,7,206-7,cost_per_road_hour,49.9392853,206-11,206-12,206-12,0.894857645,36.9732094,
206,8,206-8,revenue_per_kent_leg,90.6378479,206-13,206-14,206-14,0.224592328,9.63507652,
206,9,206-9,Leaf,,,,,0.0266577937,5.97671604,
206,10,206-10,Leaf,,,,,0.0053787278,2.67440367,
206,11,206-11,road_hours_per_vehicle,9.00397682,206-15,206-16,206-16,1.26059604,33.4669075,
206,12,206-12,Leaf,,,,,-0.0270449277,3.50630069,
206,13,206-13,Leaf,,,,,0.00253651594,3.99015737,
206,14,206-14,Leaf,,,,,0.0168955773,5.6449194,
206,15,206-15,Leaf,,,,,-0.0286447611,2.80237579,
206,16,206-16,Leaf,,,,,-0.00415109051,30.6645336,
207,0,207-0,vehicle_utilization,0.95466727,207-1,207-2,207-2,2.29194641,61.5901833,
207,1,207-1,Leaf,,,,,-0.0289643332,3.94519234,
207,2,207-2,billed_utilization,1.04988921,207-3,207-4,207-4,2.56759524,57.644989,
207,3,207-3,Leaf,,,,,-0.0301458761,3.27530313,
207,4,207-4,non_billable_noshow,0.0997218192,207-5,207-6,207-6,3.00834036,54.3696861,
207,5,207-5,total_volume_pool,1.20034683,207-7,207-8,207-8,3.68963075,49.1735992,
207,6,207-6,non_billable_noshow,0.100725584,207-9,207-10,207-10,0.0705032349,5.19608831,
207,7,207-7,Leaf,,,,,-0.0263626929,4.28759003,
207,8,207-8,high_acuity_share,0.050309673,207-11,207-12,207-12,4.22654581,44.8860092,
207,9,207-9,Leaf,,,,,-0.00779631408,2.10329962,
207,10,207-10,Leaf,,,,,-0.0295031592,3.09278846,
207,11,207-11,Leaf,,,,,-0.0265477039,3.82449317,
207,12,207-12,Leaf,,,,,0.0123029584,41.0615158,
208,0,208-0,total_volume_pool,1.19552481,208-1,208-2,208-2,2.22676539,61.0484467,
208,1,208-1,Leaf,,,,,-0.0298490971,3.1940155,
208,2,208-2,cost_per_road_hour,50.3312798,208-3,208-4,208-4,2.48437452,57.8544312,
208,3,208-3,high_acuity_share,0.0498093776,208-5,208-6,208-6,2.87232685,54.7308502,
208,4,208-4,Leaf,,,,,-0.0294968709,3.12358379,
208,5,208-5,Leaf,,,,,-0.0293235313,3.12053847,
208,6,208-6,vehicle_utilization,0.95466727,208-7,208-8,208-8,3.34633803,51.6103096,
208,7,208-7,Leaf,,,,,-0.0275075287,3.54750395,
208,8,208-8,non_billable_noshow,0.0997218192,208-9,208-10,208-10,4.10626793,48.0628052,
208,9,208-9,Leaf,,,,,0.011987037,42.5531883,
208,10,208-10,Leaf,,,,,-0.0216397569,5.50961781,
209,0,209-0,road_hours_per_vehicle,9.00397682,209-1,209-2,209-2,2.58610988,60.1174126,
209,1,209-1,Leaf,,,,,-0.0313227177,3.71443534,
209,2,209-2,non_billable_noshow,0.0997218192,209-3,209-4,209-4,2.63132548,56.402977,
209,3,209-3,revenue_per_kent_leg,70.0001984,209-5,209-6,209-6,3.05622077,51.2067909,
209,4,209-4,Leaf,,,,,-0.0251942351,5.19618845,
209,5,209-5,Leaf,,,,,-0.0297828577,3.23278546,
209,6,209-6,cost_per_road_hour,50.3312798,209-7,209-8,209-8,3.59519863,47.9740067,
209,7,209-7,contract_concentration,0.200034514,209-9,209-10,209-10,4.00040436,44.7796669,
209,8,209-8,Leaf,,,,,-0.0297149364,3.19433641,
209,9,209-9,Leaf,,,,,0.011671816,41.7194786,
209,10,209-10,Leaf,,,,,-0.0290103313,3.06019139,
210,0,210-0,total_volume_pool,1.20034683,210-1,210-2,210-2,3.0420301,59.6194496,
210,1,210-1,Leaf,,,,,-0.0323746465,3.88414812,
210,2,210-2,contract_concentration,0.200034514,210-3,210-4,210-4,2.50521803,55.735302,
210,3,210-3,billed_utilization,1.04988921,210-5,210-6,210-6,2.87276745,52.5793648,
210,4,210-4,Leaf,,,,,-0.0292263906,3.15593696,
210,5,210-5,Leaf,,,,,-0.0292858072,3.03203321,
210,6,210-6,cost_per_road_hour,50.3312798,210-7,210-8,210-8,3.24391198,49.5473328,
210,7,210-7,high_acuity_share,0.050309673,210-9,210-10,210-10,3.77535868,46.6020012,
210,8,210-8,Leaf,,,,,-0.0289762653,2.945333,
210,9,210-9,Leaf,,,,,-0.0258539412,3.62715483,
210,10,210-10,Leaf,,,,,0.0114368023,42.9748459,
211,0,211-0,revenue_per_kent_leg,70.0001984,211-1,211-2,211-2,2.37955189,58.7098846,
211,1,211-1,Leaf,,,,,-0.0305849966,3.56888914,
211,2,211-2,cost_per_road_hour,49.9392853,211-3,211-4,211-4,2.69660759,55.140995,
211,3,211-3,total_volume_pool,1.19552481,211-5,211-6,211-6,2.6703229,50.9252052,
211,4,211-4,Leaf,,,,,-0.0278925691,4.21578979,
211,5,211-5,Leaf,,,,,-0.0290230736,2.94432211,
211,6,211-6,contract_concentration,0.200034514,211-7,211-8,211-8,3.02870607,47.9808846,
211,7,211-7,non_billable_noshow,0.100725584,211-9,211-10,211-10,3.48863125,45.0646248,
211,8,211-8,Leaf,,,,,-0.0284934752,2.91625881,
211,9,211-9,Leaf,,,,,0.0104642948,42.2523003,
211,10,211-10,Leaf,,,,,-0.028534703,2.812325,
212,0,212-0,billed_utilization,1.05165946,212-1,212-2,212-2,2.48909879,57.7463226,
212,1,212-1,Leaf,,,,,-0.0298963804,3.61992145,
212,2,212-2,non_billable_noshow,0.0997218192,212-3,212-4,212-4,2.54519796,54.1264038,
212,3,212-3,total_volume_pool,1.19552481,212-5,212-6,212-6,3.02664638,48.9802856,
212,4,212-4,non_billable_noshow,0.100725584,212-7,212-8,212-8,0.118883848,5.14611626,
212,5,212-5,Leaf,,,,,-0.0292490423,3.02930665,
212,6,212-6,high_acuity_share,0.050309673,212-9,212-10,212-10,3.45315647,45.9509811,
212,7,212-7,Leaf,,,,,-0.00695939222,2.10394883,
212,8,212-8,Leaf,,,,,-0.0291918628,3.04216743,
212,9,212-9,Leaf,,,,,-0.0267660692,3.45805621,
212,10,212-10,road_hours_per_vehicle,9.00397682,212-11,212-12,212-12,4.19498873,42.4929237,
212,11,212-11,Leaf,,,,,-0.0251395907,3.84974074,
212,12,212-12,Leaf,,,,,0.0136470096,38.6431808,
213,0,213-0,revenue_per_kent_leg,70.0001984,213-1,213-2,213-2,2.29558825,58.4362297,
213,1,213-1,Leaf,,,,,-0.0299552176,3.32371092,
213,2,213-2,revenue_per_kent_leg,86.9811707,213-3,213-4,213-4,2.56287956,55.1125183,
213,3,213-3,contract_concentration,0.130105123,213-5,213-6,213-6,0.483973265,7.79180288,
213,4,213-4,revenue_per_kent_leg,97.9469604,213-7,213-8,213-8,2.34551382,47.3207169,
213,5,213-5,Leaf,,,,,0.0257320236,4.99738503,
213,6,213-6,Leaf,,,,,0.0025599238,2.79441762,
213,7,213-7,vehicle_utilization,0.95466727,213-9,213-10,213-10,1.16702187,38.4464912,
213,8,213-8,road_hours_per_vehicle,10.6879845,213-11,213-12,213-12,0.17143333,8.87422371,
213,9,213-9,Leaf,,,,,-0.0292271078,2.80422664,
213,10,213-10,vehicle_utilization,1.20340705,213-13,213-14,213-14,1.97765517,35.6422653,
213,11,213-11,Leaf,,,,,0.00115810055,2.35306525,
213,12,213-12,total_volume_pool,1.53353,213-15,213-16,213-16,0.0614285469,6.52115822,
213,13,213-13,Leaf,,,,,0.0195617899,3.2218833,
213,14,213-14,Leaf,,,,,-0.008861118,32.4203835,
213,15,213-15,Leaf,,,,,0.0057086423,2.92857051,
213,16,213-16,Leaf,,,,,0.0204960946,3.59258771,
214,0,214-0,revenue_per_kent_leg,70.0001984,214-1,214-2,214-2,2.42233515,57.1714897,
214,1,214-1,Leaf,,,,,-0.0297742542,3.27881384,
214,2,214-2,vehicle_utilization,0.949723125,214-3,214-4,214-4,2.61817288,53.8926773,
214,3,214-3,Leaf,,,,,-0.0291847102,3.08910036,
214,4,214-4,road_hours_per_vehicle,8.96322536,214-5,214-6,214-6,2.97056103,50.8035774,
214,5,214-5,Leaf,,,,,-0.029094426,2.96092939,
214,6,214-6,cost_per_road_hour,50.3312798,214-7,214-8,214-8,3.46729755,47.8426476,
214,7,214-7,high_acuity_share,0.050309673,214-9,214-10,214-10,3.82714987,44.8786049,
214,8,214-8,Leaf,,,,,-0.0289474502,2.96404362,
214,9,214-9,Leaf,,,,,-0.0250398722,3.57093954,
214,10,214-10,Leaf,,,,,0.0128238369,41.307663,
215,0,215-0,billed_utilization,1.04988921,215-1,215-2,215-2,2.07769346,57.4379578,
215,1,215-1,Leaf,,,,,-0.0295289923,3.11510682,
215,2,215-2,non_billable_noshow,0.0997218192,215-3,215-4,215-4,2.35686636,54.3228493,
215,3,215-3,total_volume_pool,1.20034683,215-5,215-6,215-6,2.89779139,49.0993614,
215,4,215-4,non_billable_noshow,0.100725584,215-7,215-8,215-8,0.0203692913,5.22348785,
215,5,215-5,Leaf,,,,,-0.0256442856,4.11236,
215,6,215-6,vehicle_utilization,0.95466727,215-9,215-10,215-10,3.3905654,44.9870033,
